Nome,Cargo,Tipo Cargo,CPF,Cidade,Sobrenome,Cod_IBGE
Alcides Hipólito,Vereador,Eleito,085.386.967-77,Rio de Janeiro, Hipólito,33
Alcides Loio,Vereador,Eleito,977.935.438-74,Natal, Loio,24
Alcides Mortágua,Vereador,Eleito,908.090.249-77,Porto Alegre, Mortágua,43
Alcides Pozas,Vereador,Eleito,171.056.472-56,Porto Velho, Pozas,11
Alcides Rabelo,Vereador,Eleito,994.912.112-42,Boa Vista, Rabelo,14
Alcides Soeiro,Vereador,Eleito,309.505.317-74,Florianópolis, Soeiro,42
Alda Aguiar,Vereador,Eleito,746.015.146-73,São Paulo, Aguiar,35
Alda Brás,Vereador,Eleito,469.417.771-09,Aracaju, Brás,28
Alda Carneiro,Vereador,Eleito,107.532.874-80,Palmas, Carneiro,41
Alda Díaz,Vereador,Eleito,932.743.575-37,Rio Branco, Díaz,12
Alda Espargosa,Vereador,Eleito,453.232.591-91,Maceió, Espargosa,27
Alda Felgueiras,Vereador,Eleito,656.830.255-40,Macapá, Felgueiras,16
Alda Fontes,Vereador,Eleito,055.632.808-61,Manaus, Fontes,13
Alda Saraiva,Vereador,Eleito,191.825.886-43,Salvador, Saraiva,29
Alda Valente,Vereador,Eleito,112.454.581-67,Fortaleza, Valente,23
Alda Veríssimo,Vereador,Eleito,635.540.583-60,Brasília, Veríssimo,53
Alda Vásquez,Vereador,Eleito,844.360.766-10,Vitória, Vásquez,32
Aldo Brites,Vereador,Eleito,176.465.288-62,Goiânia, Brites,52
Aldo Caldeira,Vereador,Eleito,879.009.397-68,São Luís, Caldeira,21
Aldo Campelo,Vereador,Eleito,654.421.528-70,Cuiabá, Campelo,51
Aldo Jucá,Vereador,Eleito,354.488.991-96,Campo Grande, Jucá,50
Aldo Lins,Vereador,Eleito,706.502.403-24,Belo Horizonte, Lins,31
Aldo Lobato,Vereador,Eleito,364.347.841-04,Belém, Lobato,15
Aldo Macedo,Vereador,Eleito,083.268.328-04,João Pessoa, Macedo,25
Aldo Marañón,Vereador,Eleito,874.413.626-95,Curitiba, Marañón,41
Aldo Mexia,Vereador,Eleito,048.321.535-01,Recife, Mexia,26
Aldo Padilla,Vereador,Eleito,885.493.659-63,Teresina, Padilla,22
Aldo Paes,Vereador,Eleito,398.571.870-99,Rio de Janeiro, Paes,33
Aldo Teves,Vereador,Eleito,502.346.734-19,Natal, Teves,24
Aldo VilasBoas,Vereador,Eleito,946.173.065-95,Porto Alegre, VilasBoas,43
Aldonça Azambuja,Vereador,Eleito,713.736.964-27,Porto Velho, Azambuja,11
Aldonça Festas,Vereador,Eleito,597.168.189-39,Boa Vista, Festas,14
Aldonça Ipiranga,Vereador,Eleito,707.479.681-60,Florianópolis, Ipiranga,42
Aldonça Lucas,Vereador,Eleito,041.589.342-90,São Paulo, Lucas,35
Aldonça Olaio,Vereador,Eleito,247.719.070-99,Aracaju, Olaio,28
Aldonça Penha,Vereador,Eleito,575.716.117-50,Palmas, Penha,41
Aldonça Perdigón,Vereador,Eleito,085.826.177-47,Rio Branco, Perdigón,12
Aldonça Rosmaninho,Vereador,Eleito,954.802.793-35,Maceió, Rosmaninho,27
Aldonça Velázquez,Vereador,Eleito,037.232.467-37,Macapá, Velázquez,16
Aleixo Canto,Vereador,Eleito,394.159.776-04,Manaus, Canto,13
Aleixo Carvalhoso,Vereador,Eleito,882.545.138-56,Salvador, Carvalhoso,29
Aleixo Clementino,Vereador,Eleito,808.693.324-57,Fortaleza, Clementino,23
Aleixo Cortês,Vereador,Eleito,294.041.906-08,Brasília, Cortês,53
Aleixo Custódio,Vereador,Eleito,701.714.043-51,Vitória, Custódio,32
Aleixo Câmara,Vereador,Eleito,340.059.456-35,Goiânia, Câmara,52
Aleixo Diniz,Vereador,Eleito,618.541.541-09,São Luís, Diniz,21
Aleixo Ferrão,Vereador,Eleito,758.393.187-87,Cuiabá, Ferrão,51
Aleixo Loureiro,Vereador,Eleito,096.647.167-90,Campo Grande, Loureiro,50
Aleixo Paião,Vereador,Eleito,117.572.352-56,Belo Horizonte, Paião,31
Aleixo Pedroso,Vereador,Eleito,771.953.986-92,Belém, Pedroso,15
Aleixo Ramos,Vereador,Eleito,252.055.386-35,João Pessoa, Ramos,25
Aleixo Reguera,Vereador,Eleito,340.731.898-75,Curitiba, Reguera,41
Aleixo Telinhos,Vereador,Eleito,631.065.305-96,Recife, Telinhos,26
Aleixo Tristão,Vereador,Eleito,819.104.154-56,Teresina, Tristão,22
Aleixo Zarco,Vereador,Eleito,116.697.484-72,Rio de Janeiro, Zarco,33
Alexandra Brum,Vereador,Eleito,644.285.464-75,Natal, Brum,24
Alexandra Cerqueira,Vereador,Eleito,415.807.600-58,Porto Alegre, Cerqueira,43
Alexandra Coito,Prefeito,Eleito,386.838.911-35,Porto Velho, Coito,11
Alexandra Lira,Prefeito,Eleito,133.724.829-05,Boa Vista, Lira,14
Alexandra Mattozo,Prefeito,Eleito,620.090.618-10,Florianópolis, Mattozo,42
Alexandra Mourinho,Prefeito,Eleito,098.606.418-11,São Paulo, Mourinho,35
Alexandra Peña,Prefeito,Eleito,725.872.586-50,Aracaju, Peña,28
Alexandra Resende,Prefeito,Eleito,489.866.613-22,Palmas, Resende,41
Alexandra Sesimbra,Prefeito,Eleito,366.076.208-33,Rio Branco, Sesimbra,12
Alexandra Teves,Prefeito,Eleito,993.548.124-73,Maceió, Teves,27
Alexandra Varella,Prefeito,Eleito,641.371.307-01,Macapá, Varella,16
Alexandra Veloso,Prefeito,Eleito,157.808.983-24,Manaus, Veloso,13
Alexandra Vidigal,Prefeito,Eleito,133.232.387-10,Salvador, Vidigal,29
Alexandre Antas,Prefeito,Eleito,818.920.567-63,Fortaleza, Antas,23
Alexandre Bahía,Prefeito,Eleito,974.927.195-58,Brasília, Bahía,53
Alexandre Barros,Prefeito,Eleito,169.310.062-23,Vitória, Barros,32
Alexandre Borja,Prefeito,Eleito,282.127.654-07,Goiânia, Borja,52
Alexandre Faustino,Prefeito,Eleito,343.742.232-40,São Luís, Faustino,21
Alexandre Freixo,Prefeito,Eleito,541.755.200-31,Cuiabá, Freixo,51
Alexandre Gentil,Prefeito,Eleito,808.567.496-30,Campo Grande, Gentil,50
Alexandre Hollanda,Prefeito,Eleito,999.002.562-20,Belo Horizonte, Hollanda,31
Alexandre Junqueira,Prefeito,Eleito,598.601.044-25,Belém, Junqueira,15
Alexandre Leme,Prefeito,Eleito,844.330.447-25,João Pessoa, Leme,25
Alexandre Lobato,Prefeito,Eleito,675.168.354-55,Curitiba, Lobato,41
Alexandre Nazário,Prefeito,Eleito,996.602.369-05,Recife, Nazário,26
Alexandre Nolasco,Prefeito,Eleito,140.349.419-36,Teresina, Nolasco,22
Alexandre Penha,Prefeito,Eleito,219.972.383-65,Rio de Janeiro, Penha,33
Alexandre Siqueira,Prefeito,Eleito,197.526.366-91,Natal, Siqueira,24
Alfredo Affonso,Prefeito,Eleito,436.762.634-21,Porto Alegre, Affonso,43
Alfredo Boga,Prefeito,Eleito,475.509.002-48,Porto Velho, Boga,11
Alfredo Bugalho,Prefeito,Eleito,662.530.914-17,Boa Vista, Bugalho,14
Alfredo Calheiros,Prefeito,Eleito,137.873.221-91,Florianópolis, Calheiros,42
Alfredo Castaño,Prefeito,Eleito,844.203.057-38,São Paulo, Castaño,35
Alfredo Cortesão,Prefeito,Eleito,754.199.036-10,Aracaju, Cortesão,28
Alfredo Francia,Prefeito,Eleito,287.140.499-29,Palmas, Francia,41
Alfredo Gil,Prefeito,Eleito,259.265.505-05,Rio Branco, Gil,12
Alfredo Guimarães,Prefeito,Eleito,221.885.574-76,Maceió, Guimarães,27
Alfredo Imbassaí,Prefeito,Eleito,861.771.496-42,Macapá, Imbassaí,16
Alfredo Maior,Prefeito,Eleito,311.698.227-97,Manaus, Maior,13
Alfredo Paião,Prefeito,Eleito,938.419.708-42,Salvador, Paião,29
Alfredo Palha,Prefeito,Eleito,309.814.643-51,Fortaleza, Palha,23
Alfredo Picanço,Prefeito,Eleito,176.445.857-53,Brasília, Picanço,53
Alfredo Sabrosa,Prefeito,Eleito,850.330.738-34,Vitória, Sabrosa,32
Alfredo Travassos,Prefeito,Eleito,869.394.701-07,Goiânia, Travassos,52
Alice Calheiros,Prefeito,Eleito,882.208.154-42,São Luís, Calheiros,21
Alice Carvalhoso,Prefeito,Eleito,089.003.704-30,Cuiabá, Carvalhoso,51
Alice Casado,Prefeito,Eleito,815.104.215-05,Campo Grande, Casado,50
Alice Custódio,Prefeito,Eleito,149.167.139-40,Belo Horizonte, Custódio,31
Alice Gravato,Prefeito,Eleito,165.024.127-50,Belém, Gravato,15
Alice Jesús,Prefeito,Eleito,324.833.536-06,João Pessoa, Jesús,25
Alice Mafra,Prefeito,Eleito,850.611.181-11,Curitiba, Mafra,41
Alice Mota,Prefeito,Eleito,445.386.434-59,Recife, Mota,26
Alice Reino,Prefeito,Eleito,665.115.879-16,Teresina, Reino,22
Alice Semedo,Prefeito,Eleito,552.261.774-88,Rio de Janeiro, Semedo,33
Alicia Abrantes,Prefeito,Eleito,596.673.272-80,Natal, Abrantes,24
Alicia Cruz,Prefeito,Eleito,051.352.430-46,Porto Alegre, Cruz,43
Alicia Grande,Prefeito,Eleito,928.743.849-84,Porto Velho, Grande,11
Alicia Lins,Prefeito,Eleito,792.886.796-69,Boa Vista, Lins,14
Alicia Madruga,Prefeito,Eleito,514.253.664-90,Florianópolis, Madruga,42
Alicia Moita,Prefeito,Eleito,141.811.973-36,São Paulo, Moita,35
Alicia Moraes,Prefeito,Eleito,503.620.916-84,Aracaju, Moraes,28
Alicia Uchoa,Prefeito,Eleito,726.995.000-89,Palmas, Uchoa,41
Aline Belén,Prefeito,Eleito,407.927.432-70,Rio Branco, Belén,12
Aline Bonilla,Prefeito,Eleito,142.981.467-58,Maceió, Bonilla,27
Aline Cotegipe,Prefeito,Eleito,931.514.396-59,Macapá, Cotegipe,16
Aline Godói,Prefeito,Eleito,109.830.129-38,Manaus, Godói,13
Aline Loio,Prefeito,Eleito,895.968.046-00,Salvador, Loio,29
Aline Marmou,Prefeito,Eleito,037.016.888-77,Fortaleza, Marmou,23
Aline Matos,Prefeito,Eleito,150.567.397-66,Brasília, Matos,53
Aline Queiroz,Prefeito,Eleito,271.781.099-47,Vitória, Queiroz,32
Aline Valim,Prefeito,Eleito,588.401.809-66,Goiânia, Valim,52
Almeno Alancastre,Prefeito,Eleito,857.685.386-82,São Luís, Alancastre,21
Almeno Cachão,Prefeito,Eleito,827.198.599-07,Cuiabá, Cachão,51
Almeno Festas,Prefeito,Eleito,567.680.914-09,Campo Grande, Festas,50
Almeno Gutiérrez,Prefeito,Eleito,866.046.267-09,Belo Horizonte, Gutiérrez,31
Almeno Linares,Prefeito,Eleito,655.899.619-71,Belém, Linares,15
Almeno Maranhão,Prefeito,Eleito,116.438.327-27,João Pessoa, Maranhão,25
Almeno Paredes,Prefeito,Eleito,834.784.961-79,Curitiba, Paredes,41
Almeno Pereira,Prefeito,Eleito,083.401.258-85,Recife, Pereira,26
Almeno Valentín,Prefeito,Eleito,041.576.143-30,Teresina, Valentín,22
Almeno VilaChã,Prefeito,Eleito,714.635.402-48,Rio de Janeiro, VilaChã,33
Almeno Villas Bôas,Prefeito,Eleito,698.278.569-60,Natal, Bôas,24
Almerinda Cambaúva,Prefeito,Eleito,734.134.073-84,Porto Alegre, Cambaúva,43
Almerinda Leitão,Prefeito,Eleito,502.455.962-24,Porto Velho, Leitão,11
Almerinda Pari,Prefeito,Eleito,512.347.294-07,Boa Vista, Pari,14
Almerinda Piteira,Prefeito,Eleito,314.769.607-39,Florianópolis, Piteira,42
Almerinda Quinteiro,Prefeito,Eleito,073.268.429-30,São Paulo, Quinteiro,35
Almerinda Ramalho,Prefeito,Eleito,059.764.488-87,Aracaju, Ramalho,28
Almerinda Robalinho,Prefeito,Eleito,522.234.565-37,Palmas, Robalinho,41
Almerinda Serralheiro,Prefeito,Eleito,376.378.358-04,Rio Branco, Serralheiro,12
Almerinda Severiano,Prefeito,Eleito,701.841.544-64,Maceió, Severiano,27
Almerinda Villégas,Prefeito,Eleito,204.207.337-79,Macapá, Villégas,16
Almor Anjos,Prefeito,Eleito,717.280.282-99,Manaus, Anjos,13
Almor Antas,Prefeito,Eleito,607.506.233-57,Salvador, Antas,29
Almor Brites,Prefeito,Eleito,730.697.426-29,Fortaleza, Brites,23
Almor Cavalheiro,Prefeito,Eleito,993.369.131-74,Brasília, Cavalheiro,53
Almor Chamusca,Prefeito,Eleito,361.671.276-97,Vitória, Chamusca,32
Almor Galván,Prefeito,Eleito,592.324.580-98,Goiânia, Galván,52
Almor Guerreiro,Prefeito,Eleito,494.632.475-56,São Luís, Guerreiro,21
Almor Lousado,Prefeito,Eleito,339.942.692-53,Cuiabá, Lousado,51
Almor Machado,Prefeito,Eleito,242.798.149-45,Campo Grande, Machado,50
Almor Moita,Prefeito,Eleito,525.674.109-88,Belo Horizonte, Moita,31
Almor Pavía,Prefeito,Eleito,319.694.387-97,Belém, Pavía,15
Almor Póvoas,Prefeito,Eleito,130.125.741-90,João Pessoa, Póvoas,25
Almor Quiroga,Prefeito,Eleito,915.581.375-56,Curitiba, Quiroga,41
Almor Reguera,Prefeito,Eleito,896.521.817-90,Recife, Reguera,26
Almor Ribas,Prefeito,Eleito,271.095.560-18,Teresina, Ribas,22
Almor Semedo,Prefeito,Eleito,126.354.831-83,Rio de Janeiro, Semedo,33
Almor Serralheiro,Prefeito,Eleito,015.247.983-04,Natal, Serralheiro,24
Almor Viegas,Prefeito,Eleito,251.956.791-00,Porto Alegre, Viegas,43
Aluísio Antas,Prefeito,Eleito,413.745.787-54,Porto Velho, Antas,11
Aluísio Bonilha,Prefeito,Eleito,950.114.360-04,Boa Vista, Bonilha,14
Aluísio Lameira,Prefeito,Eleito,531.725.677-10,Florianópolis, Lameira,42
Aluísio Louzada,Prefeito,Eleito,338.940.268-39,São Paulo, Louzada,35
Aluísio Mieiro,Prefeito,Eleito,709.975.781-49,Aracaju, Mieiro,28
Aluísio Sequeira,Prefeito,Eleito,864.997.619-07,Palmas, Sequeira,41
Aluísio Tristán,Prefeito,Eleito,285.912.570-14,Rio Branco, Tristán,12
Aluísio Zarco,Prefeito,Eleito,381.450.592-16,Maceió, Zarco,27
Alvito Braga,Prefeito,Eleito,941.351.705-36,Macapá, Braga,16
Alvito Brandão,Prefeito,Eleito,970.439.926-05,Manaus, Brandão,13
Alvito Cabeça de Vaca,Prefeito,Eleito,703.537.310-13,Salvador, Vaca,29
Alvito Capucho,Prefeito,Eleito,247.478.039-47,Fortaleza, Capucho,23
Alvito Cordero,Prefeito,Eleito,972.190.944-00,Brasília, Cordero,53
Alvito Cruz,Prefeito,Eleito,482.026.326-92,Vitória, Cruz,32
Alvito Gama,Prefeito,Eleito,119.856.847-05,Goiânia, Gama,52
Alvito Guerreiro,Prefeito,Eleito,388.922.748-13,São Luís, Guerreiro,21
Alvito Jesus,Prefeito,Eleito,453.825.803-24,Cuiabá, Jesus,51
Alvito Rodrigues,Prefeito,Eleito,395.945.021-42,Campo Grande, Rodrigues,50
Alvito Tomé,Prefeito,Eleito,860.605.048-25,Belo Horizonte, Tomé,31
Alvito Toscano,Prefeito,Eleito,753.624.347-21,Belém, Toscano,15
Alzira Andrade,Prefeito,Eleito,855.163.261-25,João Pessoa, Andrade,25
Alzira Barretto,Prefeito,Eleito,120.038.953-02,Curitiba, Barretto,41
Alzira Baía,Prefeito,Eleito,001.710.431-97,Recife, Baía,26
Alzira Butantã,Prefeito,Eleito,473.211.211-00,Teresina, Butantã,22
Alzira Campello,Prefeito,Eleito,142.078.845-05,Rio de Janeiro, Campello,33
Alzira Carreira,Prefeito,Eleito,259.617.949-03,Natal, Carreira,24
Alzira Fartaria,Prefeito,Eleito,907.742.620-52,Porto Alegre, Fartaria,43
Alzira Grilo,Prefeito,Eleito,355.076.013-21,Porto Velho, Grilo,11
Alzira Moita,Prefeito,Eleito,759.919.549-17,Boa Vista, Moita,14
Alzira Neiva,Prefeito,Eleito,659.250.091-34,Florianópolis, Neiva,42
Alzira Silveira,Prefeito,Eleito,883.922.883-78,São Paulo, Silveira,35
Alzira Talhão,Prefeito,Eleito,067.266.215-90,Aracaju, Talhão,28
Alípio Caminha,Prefeito,Eleito,203.744.917-80,Palmas, Caminha,41
Alípio Cortês,Prefeito,Eleito,131.444.694-08,Rio Branco, Cortês,12
Alípio Estrela,Prefeito,Eleito,241.937.293-03,Maceió, Estrela,27
Alípio Felgueira,Prefeito,Eleito,966.261.031-64,Macapá, Felgueira,16
Alípio Felgueiras,Prefeito,Eleito,111.826.854-71,Manaus, Felgueiras,13
Alípio Fernández,Prefeito,Eleito,506.274.394-03,Salvador, Fernández,29
Alípio Figueiredo,Prefeito,Eleito,501.389.053-55,Fortaleza, Figueiredo,23
Alípio Gois,Prefeito,Eleito,753.434.261-90,Brasília, Gois,53
Alípio Magalhães,Prefeito,Eleito,751.197.310-82,Vitória, Magalhães,32
Alípio Murici,Prefeito,Eleito,665.673.744-70,Goiânia, Murici,52
Alípio Naves,Prefeito,Eleito,867.013.909-00,São Luís, Naves,21
Alípio Prada,Prefeito,Eleito,317.024.510-46,Cuiabá, Prada,51
Alípio Santarém,Prefeito,Eleito,018.299.098-27,Campo Grande, Santarém,50
Alípio Valgueiro,Prefeito,Eleito,549.981.676-00,Belo Horizonte, Valgueiro,31
Amadeu Caniça,Prefeito,Eleito,474.106.808-06,Belém, Caniça,15
Amadeu Garcia de Gondim,Prefeito,Eleito,299.452.996-38,João Pessoa, Gondim,25
Amadeu Jordão,Prefeito,Eleito,920.651.656-69,Curitiba, Jordão,41
Amadeu Otero,Prefeito,Eleito,583.199.711-10,Recife, Otero,26
Amadeu Prudente,Prefeito,Eleito,220.236.173-16,Teresina, Prudente,22
Amadeu Rico,Prefeito,Eleito,099.504.754-57,Rio de Janeiro, Rico,33
Amadeu Valim,Prefeito,Eleito,020.928.618-08,Natal, Valim,24
Amanda Balsemão,Prefeito,Eleito,460.430.492-01,Porto Alegre, Balsemão,43
Amanda Covelhã,Prefeito,Eleito,204.143.734-05,Porto Velho, Covelhã,11
Amanda Fidalgo,Prefeito,Eleito,630.703.006-26,Boa Vista, Fidalgo,14
Amanda Louzada,Prefeito,Eleito,741.493.719-46,Florianópolis, Louzada,42
Amanda Neto,Prefeito,Eleito,616.393.218-88,São Paulo, Neto,35
Amanda Ramallo,Prefeito,Eleito,374.473.511-72,Aracaju, Ramallo,28
Amanda Rebello,Prefeito,Eleito,725.564.078-83,Palmas, Rebello,41
Amanda Tomé,Prefeito,Eleito,807.978.966-51,Rio Branco, Tomé,12
Amanda Valadão,Prefeito,Eleito,328.885.772-32,Maceió, Valadão,27
Amanda Vilarinho,Prefeito,Eleito,228.388.717-81,Macapá, Vilarinho,16
Amandio Camacho,Prefeito,Eleito,438.944.714-92,Manaus, Camacho,13
Amandio Esteves,Prefeito,Eleito,239.048.805-60,Salvador, Esteves,29
Amandio Gama,Prefeito,Eleito,882.801.612-44,Fortaleza, Gama,23
Amandio Guará,Prefeito,Eleito,100.589.858-83,Brasília, Guará,53
Amandio Laureano,Prefeito,Eleito,447.090.566-68,Vitória, Laureano,32
Amandio Loureiro,Prefeito,Eleito,249.233.755-31,Goiânia, Loureiro,52
Amandio Paranaguá,Prefeito,Eleito,554.261.340-30,São Luís, Paranaguá,21
Amandio Quadros,Prefeito,Eleito,588.828.142-54,Cuiabá, Quadros,51
Amandio Sotomayor,Prefeito,Eleito,926.586.631-45,Campo Grande, Sotomayor,50
Amandio Vieyra,Prefeito,Eleito,791.579.976-24,Belo Horizonte, Vieyra,31
Amandio Villalobos,Prefeito,Eleito,896.800.160-05,Belém, Villalobos,15
Amandio Álvaro,Prefeito,Eleito,241.256.022-63,João Pessoa, Álvaro,25
Amália Estévez,Prefeito,Eleito,322.966.786-70,Curitiba, Estévez,41
Amália Girão,Prefeito,Eleito,084.692.650-40,Recife, Girão,26
Amália Oiticica,Prefeito,Eleito,712.140.241-65,Teresina, Oiticica,22
Amália Pinto,Prefeito,Eleito,062.684.556-49,Rio de Janeiro, Pinto,33
Amália Sarmento,Prefeito,Eleito,221.341.600-12,Natal, Sarmento,24
Amália Tabajara,Prefeito,Eleito,927.464.136-20,Porto Alegre, Tabajara,43
Amélia Barros,Prefeito,Eleito,886.074.818-60,Porto Velho, Barros,11
Amélia Brandão,Prefeito,Eleito,447.128.274-32,Boa Vista, Brandão,14
Amélia Ferreira,Prefeito,Eleito,270.936.417-41,Florianópolis, Ferreira,42
Amélia Inácio,Prefeito,Eleito,758.396.932-86,São Paulo, Inácio,35
Amélia Mariz,Prefeito,Eleito,829.689.872-16,Aracaju, Mariz,28
Amélia Mata,Prefeito,Eleito,451.768.772-44,Palmas, Mata,41
Amélia Milheirão,Prefeito,Eleito,330.011.121-82,Rio Branco, Milheirão,12
Amélia Quirós,Prefeito,Eleito,239.610.695-30,Maceió, Quirós,27
Amélia Santiago,Prefeito,Eleito,094.343.847-02,Macapá, Santiago,16
Amélia Vilaverde,Prefeito,Eleito,397.763.664-22,Manaus, Vilaverde,13
Américo Canadas,Prefeito,Eleito,698.277.922-02,Salvador, Canadas,29
Américo Delgado,Prefeito,Eleito,951.855.055-75,Fortaleza, Delgado,23
Américo Fortunato,Prefeito,Eleito,359.954.733-52,Brasília, Fortunato,53
Américo Freyre,Prefeito,Eleito,877.397.929-50,Vitória, Freyre,32
Américo Gallindo,Prefeito,Eleito,747.202.999-89,Goiânia, Gallindo,52
Américo Godoy,Prefeito,Eleito,867.159.375-40,São Luís, Godoy,21
Américo Iglesias,Prefeito,Eleito,211.016.159-07,Cuiabá, Iglesias,51
Américo Lencastre,Prefeito,Eleito,826.457.975-20,Campo Grande, Lencastre,50
Américo López,Prefeito,Eleito,052.428.310-90,Belo Horizonte, López,31
Américo Meneses,Prefeito,Eleito,786.299.742-57,Belém, Meneses,15
Américo Osorio,Prefeito,Eleito,050.923.922-66,João Pessoa, Osorio,25
Américo Paiacã,Prefeito,Eleito,378.289.336-06,Curitiba, Paiacã,41
Américo Pena,Prefeito,Eleito,255.415.944-05,Recife, Pena,26
Américo Pitanga,Prefeito,Eleito,241.828.465-40,Teresina, Pitanga,22
Américo Rosmaninho,Prefeito,Eleito,982.001.255-48,Rio de Janeiro, Rosmaninho,33
Américo Salomão,Prefeito,Eleito,357.340.597-57,Natal, Salomão,24
Américo Telles,Prefeito,Eleito,392.791.731-11,Porto Alegre, Telles,43
Américo Temes,Prefeito,Eleito,217.563.063-38,Porto Velho, Temes,11
Américo Vidigal,Prefeito,Eleito,039.093.887-44,Boa Vista, Vidigal,14
Amílcar Aleixo,Prefeito,Eleito,659.337.787-29,Florianópolis, Aleixo,42
Amílcar Alvarenga,Prefeito,Eleito,704.341.737-62,São Paulo, Alvarenga,35
Amílcar Barrios,Prefeito,Eleito,547.572.774-07,Aracaju, Barrios,28
Amílcar Belo,Prefeito,Eleito,778.075.524-09,Palmas, Belo,41
Amílcar Cairu,Prefeito,Eleito,466.371.924-49,Rio Branco, Cairu,12
Amílcar Homem,Prefeito,Eleito,269.243.746-20,Maceió, Homem,27
Amílcar Junqueira,Prefeito,Eleito,721.193.048-90,Macapá, Junqueira,16
Amílcar Maior,Prefeito,Eleito,014.035.975-37,Manaus, Maior,13
Amílcar Resende,Prefeito,Eleito,191.850.816-04,Salvador, Resende,29
Amílcar Veloso,Prefeito,Eleito,270.834.949-08,Fortaleza, Veloso,23
Ana Caniça,Prefeito,Eleito,516.418.635-79,Brasília, Caniça,53
Ana Castelo Branco,Prefeito,Eleito,475.308.620-81,Vitória, Branco,32
Ana França,Prefeito,Eleito,011.346.930-60,Goiânia, França,52
Ana Freyria,Prefeito,Eleito,199.166.384-62,São Luís, Freyria,21
Ana Grillo,Prefeito,Eleito,397.878.250-24,Cuiabá, Grillo,51
Ana Lousada,Prefeito,Eleito,491.977.868-61,Campo Grande, Lousada,50
Ana Pitanga,Prefeito,Eleito,003.967.907-12,Belo Horizonte, Pitanga,31
Ana Quadros,Prefeito,Eleito,250.253.315-52,Belém, Quadros,15
Ana Rabello,Prefeito,Eleito,271.262.155-76,João Pessoa, Rabello,25
Ana Valiente,Prefeito,Eleito,085.369.951-81,Curitiba, Valiente,41
Ana Álvarez,Prefeito,Eleito,491.155.610-20,Recife, Álvarez,26
Anabela Almeyda,Prefeito,Eleito,163.815.573-97,Teresina, Almeyda,22
Anabela Casquero,Prefeito,Eleito,793.152.749-62,Rio de Janeiro, Casquero,33
Anabela Cordeiro,Prefeito,Eleito,163.462.084-46,Natal, Cordeiro,24
Anabela Coutinho,Prefeito,Eleito,743.742.788-50,Porto Alegre, Coutinho,43
Anabela Feijó,Prefeito,Eleito,650.677.514-95,Porto Velho, Feijó,11
Anabela Hernández,Prefeito,Eleito,228.622.992-94,Boa Vista, Hernández,14
Anabela Malheiros,Prefeito,Eleito,971.720.747-00,Florianópolis, Malheiros,42
Anabela Mantas,Prefeito,Eleito,832.026.200-37,São Paulo, Mantas,35
Anabela Paranaguá,Prefeito,Eleito,449.936.803-09,Aracaju, Paranaguá,28
Anabela Pardo,Prefeito,Eleito,336.414.069-35,Palmas, Pardo,41
Anabela Teles,Prefeito,Eleito,104.939.225-63,Rio Branco, Teles,12
Anabela Vergueiro,Prefeito,Eleito,612.272.013-54,Maceió, Vergueiro,27
Anacleto Barata,Prefeito,Eleito,387.583.588-38,Macapá, Barata,16
Anacleto Cambezes,Prefeito,Eleito,805.297.068-73,Manaus, Cambezes,13
Anacleto Covilhã,Prefeito,Eleito,226.518.668-65,Salvador, Covilhã,29
Anacleto Garcez,Prefeito,Eleito,049.136.319-26,Fortaleza, Garcez,23
Anacleto Guedez,Prefeito,Eleito,237.062.241-51,Brasília, Guedez,53
Anacleto Lages,Prefeito,Eleito,493.153.065-62,Vitória, Lages,32
Anacleto Nobre,Prefeito,Eleito,833.899.930-02,Goiânia, Nobre,52
Anacleto Pastana,Prefeito,Eleito,288.559.858-17,São Luís, Pastana,21
Anacleto Pederneiras,Prefeito,Eleito,633.379.357-45,Cuiabá, Pederneiras,51
Anacleto Peçanha,Prefeito,Eleito,913.984.369-68,Campo Grande, Peçanha,50
Anacleto Salgado,Prefeito,Eleito,697.883.916-72,Belo Horizonte, Salgado,31
Anacleto Ulloa,Prefeito,Eleito,165.213.090-05,Belém, Ulloa,15
Andreia Boga,Prefeito,Eleito,806.632.031-04,João Pessoa, Boga,25
Andreia Cayado,Prefeito,Eleito,050.362.294-01,Curitiba, Cayado,41
Andreia Esparteiro,Prefeito,Eleito,236.912.891-77,Recife, Esparteiro,26
Andreia Fiestas,Prefeito,Eleito,739.355.660-00,Teresina, Fiestas,22
Andreia Filipe,Prefeito,Eleito,713.630.959-00,Rio de Janeiro, Filipe,33
Andreia Medina,Prefeito,Eleito,172.120.479-29,Natal, Medina,24
Andreia Moraes,Prefeito,Eleito,528.034.510-50,Porto Alegre, Moraes,43
Andreia Pessoa,Prefeito,Eleito,720.798.643-27,Porto Velho, Pessoa,11
Andreia Quinaz,Prefeito,Eleito,506.644.257-04,Boa Vista, Quinaz,14
Andreia Rivas,Prefeito,Eleito,258.309.658-36,Florianópolis, Rivas,42
Andreia Siqueira,Prefeito,Eleito,980.625.768-50,São Paulo, Siqueira,35
Andreia Torres,Prefeito,Eleito,247.233.638-15,Aracaju, Torres,28
Andreoleto Bairros,Prefeito,Eleito,128.440.457-90,Palmas, Bairros,41
Andreoleto Felgueira,Prefeito,Eleito,855.666.343-54,Rio Branco, Felgueira,12
Andreoleto Fogassa,Prefeito,Eleito,756.807.111-17,Maceió, Fogassa,27
Andreoleto Mariz,Prefeito,Eleito,658.067.203-06,Macapá, Mariz,16
