Nome,Cargo,Tipo Cargo,CPF,Sobrenome,Cod_IBGE,Nepotismo
Almor Viegas,Prefeito,Eleito,251.956.791-00, Viegas,43,Não
Aluísio Antas,Prefeito,Eleito,413.745.787-54, Antas,11,Não
Aluísio Lameira,Prefeito,Eleito,531.725.677-10, Lameira,42,Não
Aluísio Louzada,Prefeito,Eleito,338.940.268-39, Louzada,35,Não
Aluísio Mieiro,Prefeito,Eleito,709.975.781-49, Mieiro,28,Não
Aluísio Sequeira,Prefeito,Eleito,864.997.619-07, Sequeira,41,Não
Aluísio Tristán,Prefeito,Eleito,285.912.570-14, Tristán,12,Não
Aluísio Zarco,Prefeito,Eleito,381.450.592-16, Zarco,27,Não
Alvito Braga,Prefeito,Eleito,941.351.705-36, Braga,16,Não
Alvito Brandão,Prefeito,Eleito,970.439.926-05, Brandão,13,Não
Alvito Capucho,Prefeito,Eleito,247.478.039-47, Capucho,23,Não
Alvito Gama,Prefeito,Eleito,119.856.847-05, Gama,52,Não
Alvito Guerreiro,Prefeito,Eleito,388.922.748-13, Guerreiro,21,Não
Alvito Jesus,Prefeito,Eleito,453.825.803-24, Jesus,51,Não
Alvito Tomé,Prefeito,Eleito,860.605.048-25, Tomé,31,Não
Alvito Toscano,Prefeito,Eleito,753.624.347-21, Toscano,15,Não
Alzira Baía,Prefeito,Eleito,001.710.431-97, Baía,26,Não
Alzira Butantã,Prefeito,Eleito,473.211.211-00, Butantã,22,Não
Alzira Carreira,Prefeito,Eleito,259.617.949-03, Carreira,24,Não
Alzira Fartaria,Prefeito,Eleito,907.742.620-52, Fartaria,43,Não
Alzira Grilo,Prefeito,Eleito,355.076.013-21, Grilo,11,Não
Alzira Moita,Prefeito,Eleito,759.919.549-17, Moita,14,Não
Alzira Neiva,Prefeito,Eleito,659.250.091-34, Neiva,42,Não
Alzira Talhão,Prefeito,Eleito,067.266.215-90, Talhão,28,Não
Alípio Caminha,Prefeito,Eleito,203.744.917-80, Caminha,41,Não
Alípio Cortês,Prefeito,Eleito,131.444.694-08, Cortês,12,Não
Alípio Estrela,Prefeito,Eleito,241.937.293-03, Estrela,27,Não
Alípio Felgueira,Prefeito,Eleito,966.261.031-64, Felgueira,16,Não
Alípio Felgueiras,Prefeito,Eleito,111.826.854-71, Felgueiras,13,Não
Alípio Fernández,Prefeito,Eleito,506.274.394-03, Fernández,29,Não
Alípio Figueiredo,Prefeito,Eleito,501.389.053-55, Figueiredo,23,Não
Alípio Gois,Prefeito,Eleito,753.434.261-90, Gois,53,Não
Alípio Magalhães,Prefeito,Eleito,751.197.310-82, Magalhães,32,Não
Alípio Murici,Prefeito,Eleito,665.673.744-70, Murici,52,Não
Alípio Prada,Prefeito,Eleito,317.024.510-46, Prada,51,Não
Alípio Santarém,Prefeito,Eleito,018.299.098-27, Santarém,50,Não
Alípio Valgueiro,Prefeito,Eleito,549.981.676-00, Valgueiro,31,Não
Amadeu Caniça,Prefeito,Eleito,474.106.808-06, Caniça,15,Não
Amadeu Garcia de Gondim,Prefeito,Eleito,299.452.996-38, Gondim,25,Não
Amadeu Otero,Prefeito,Eleito,583.199.711-10, Otero,26,Não
Amadeu Prudente,Prefeito,Eleito,220.236.173-16, Prudente,22,Não
Amadeu Rico,Prefeito,Eleito,099.504.754-57, Rico,33,Não
Amadeu Valim,Prefeito,Eleito,020.928.618-08, Valim,24,Não
Amanda Balsemão,Prefeito,Eleito,460.430.492-01, Balsemão,43,Não
Amanda Covelhã,Prefeito,Eleito,204.143.734-05, Covelhã,11,Não
Amanda Louzada,Prefeito,Eleito,741.493.719-46, Louzada,42,Não
Amanda Neto,Prefeito,Eleito,616.393.218-88, Neto,35,Não
Amanda Tomé,Prefeito,Eleito,807.978.966-51, Tomé,12,Não
Amanda Valadão,Prefeito,Eleito,328.885.772-32, Valadão,27,Não
Amandio Camacho,Prefeito,Eleito,438.944.714-92, Camacho,13,Não
Amandio Esteves,Prefeito,Eleito,239.048.805-60, Esteves,29,Não
Amandio Guará,Prefeito,Eleito,100.589.858-83, Guará,53,Não
Amandio Laureano,Prefeito,Eleito,447.090.566-68, Laureano,32,Não
Amandio Loureiro,Prefeito,Eleito,249.233.755-31, Loureiro,52,Não
Amandio Paranaguá,Prefeito,Eleito,554.261.340-30, Paranaguá,21,Não
Amandio Quadros,Prefeito,Eleito,588.828.142-54, Quadros,51,Não
Amandio Sotomayor,Prefeito,Eleito,926.586.631-45, Sotomayor,50,Não
Amandio Vieyra,Prefeito,Eleito,791.579.976-24, Vieyra,31,Não
Amandio Villalobos,Prefeito,Eleito,896.800.160-05, Villalobos,15,Não
Amandio Álvaro,Prefeito,Eleito,241.256.022-63, Álvaro,25,Não
Amália Estévez,Prefeito,Eleito,322.966.786-70, Estévez,41,Não
Amália Girão,Prefeito,Eleito,084.692.650-40, Girão,26,Não
Amália Oiticica,Prefeito,Eleito,712.140.241-65, Oiticica,22,Não
Amália Pinto,Prefeito,Eleito,062.684.556-49, Pinto,33,Não
Amália Sarmento,Prefeito,Eleito,221.341.600-12, Sarmento,24,Não
Amélia Ferreira,Prefeito,Eleito,270.936.417-41, Ferreira,42,Não
Amélia Inácio,Prefeito,Eleito,758.396.932-86, Inácio,35,Não
Amélia Mariz,Prefeito,Eleito,829.689.872-16, Mariz,28,Não
Amélia Mata,Prefeito,Eleito,451.768.772-44, Mata,41,Não
Amélia Milheirão,Prefeito,Eleito,330.011.121-82, Milheirão,12,Não
Amélia Quirós,Prefeito,Eleito,239.610.695-30, Quirós,27,Não
Amélia Vilaverde,Prefeito,Eleito,397.763.664-22, Vilaverde,13,Não
Américo Canadas,Prefeito,Eleito,698.277.922-02, Canadas,29,Não
Américo Delgado,Prefeito,Eleito,951.855.055-75, Delgado,23,Não
Américo Fortunato,Prefeito,Eleito,359.954.733-52, Fortunato,53,Não
Américo Freyre,Prefeito,Eleito,877.397.929-50, Freyre,32,Não
Américo Gallindo,Prefeito,Eleito,747.202.999-89, Gallindo,52,Não
Américo Godoy,Prefeito,Eleito,867.159.375-40, Godoy,21,Não
Américo Iglesias,Prefeito,Eleito,211.016.159-07, Iglesias,51,Não
Américo Lencastre,Prefeito,Eleito,826.457.975-20, Lencastre,50,Não
Américo Meneses,Prefeito,Eleito,786.299.742-57, Meneses,15,Não
Américo Paiacã,Prefeito,Eleito,378.289.336-06, Paiacã,41,Não
Américo Pitanga,Prefeito,Eleito,241.828.465-40, Pitanga,22,Não
Américo Rosmaninho,Prefeito,Eleito,982.001.255-48, Rosmaninho,33,Não
Américo Salomão,Prefeito,Eleito,357.340.597-57, Salomão,24,Não
Américo Telles,Prefeito,Eleito,392.791.731-11, Telles,43,Não
Américo Temes,Prefeito,Eleito,217.563.063-38, Temes,11,Não
Américo Vidigal,Prefeito,Eleito,039.093.887-44, Vidigal,14,Não
Amílcar Aleixo,Prefeito,Eleito,659.337.787-29, Aleixo,42,Não
Amílcar Alvarenga,Prefeito,Eleito,704.341.737-62, Alvarenga,35,Não
Amílcar Barrios,Prefeito,Eleito,547.572.774-07, Barrios,28,Não
Amílcar Belo,Prefeito,Eleito,778.075.524-09, Belo,41,Não
Amílcar Homem,Prefeito,Eleito,269.243.746-20, Homem,27,Não
Amílcar Junqueira,Prefeito,Eleito,721.193.048-90, Junqueira,16,Não
Amílcar Resende,Prefeito,Eleito,191.850.816-04, Resende,29,Não
Amílcar Veloso,Prefeito,Eleito,270.834.949-08, Veloso,23,Não
Ana Caniça,Prefeito,Eleito,516.418.635-79, Caniça,53,Não
Ana Freyria,Prefeito,Eleito,199.166.384-62, Freyria,21,Não
Ana Grillo,Prefeito,Eleito,397.878.250-24, Grillo,51,Não
Ana Lousada,Prefeito,Eleito,491.977.868-61, Lousada,50,Não
Ana Pitanga,Prefeito,Eleito,003.967.907-12, Pitanga,31,Não
Ana Rabello,Prefeito,Eleito,271.262.155-76, Rabello,25,Não
Ana Valiente,Prefeito,Eleito,085.369.951-81, Valiente,41,Não
Ana Álvarez,Prefeito,Eleito,491.155.610-20, Álvarez,26,Não
Anabela Casquero,Prefeito,Eleito,793.152.749-62, Casquero,33,Não
Anabela Hernández,Prefeito,Eleito,228.622.992-94, Hernández,14,Não
Anabela Malheiros,Prefeito,Eleito,971.720.747-00, Malheiros,42,Não
Anabela Mantas,Prefeito,Eleito,832.026.200-37, Mantas,35,Não
Anabela Paranaguá,Prefeito,Eleito,449.936.803-09, Paranaguá,28,Não
Anabela Vergueiro,Prefeito,Eleito,612.272.013-54, Vergueiro,27,Não
Anacleto Barata,Prefeito,Eleito,387.583.588-38, Barata,16,Não
Anacleto Cambezes,Prefeito,Eleito,805.297.068-73, Cambezes,13,Não
Anacleto Garcez,Prefeito,Eleito,049.136.319-26, Garcez,23,Não
Anacleto Pederneiras,Prefeito,Eleito,633.379.357-45, Pederneiras,51,Não
Anacleto Peçanha,Prefeito,Eleito,913.984.369-68, Peçanha,50,Não
Anacleto Salgado,Prefeito,Eleito,697.883.916-72, Salgado,31,Não
Anacleto Ulloa,Prefeito,Eleito,165.213.090-05, Ulloa,15,Não
Andreia Cayado,Prefeito,Eleito,050.362.294-01, Cayado,41,Não
Andreia Esparteiro,Prefeito,Eleito,236.912.891-77, Esparteiro,26,Não
Andreia Fiestas,Prefeito,Eleito,739.355.660-00, Fiestas,22,Não
Andreia Moraes,Prefeito,Eleito,528.034.510-50, Moraes,43,Não
Andreia Pessoa,Prefeito,Eleito,720.798.643-27, Pessoa,11,Não
Andreia Quinaz,Prefeito,Eleito,506.644.257-04, Quinaz,14,Não
Andreia Rivas,Prefeito,Eleito,258.309.658-36, Rivas,42,Não
Andreia Torres,Prefeito,Eleito,247.233.638-15, Torres,28,Não
Andreoleto Bairros,Prefeito,Eleito,128.440.457-90, Bairros,41,Não
Andreoleto Felgueira,Prefeito,Eleito,855.666.343-54, Felgueira,12,Não
Andreoleto Mariz,Prefeito,Eleito,658.067.203-06, Mariz,16,Não
Andreoleto Neves,Prefeito,Eleito,649.950.867-57, Neves,13,Não
Andreoleto Teves,Prefeito,Eleito,262.337.558-59, Teves,29,Não
Andreoleto Tibiriçá,Prefeito,Eleito,260.063.117-80, Tibiriçá,23,Não
Andreoleto Trindade,Prefeito,Eleito,693.521.994-99, Trindade,53,Não
André Bencatel,Prefeito,Eleito,817.378.426-45, Bencatel,32,Não
André Calheiros,Prefeito,Eleito,963.423.708-85, Calheiros,52,Não
André Dorneles,Prefeito,Eleito,608.206.428-35, Dorneles,51,Não
André Flores,Prefeito,Eleito,917.316.918-82, Flores,50,Não
André Jaguaribe,Prefeito,Eleito,568.987.950-90, Jaguaribe,31,Não
André Rebocho,Prefeito,Eleito,180.767.219-03, Rebocho,41,Não
André Sabrosa,Prefeito,Eleito,646.155.114-00, Sabrosa,22,Não
Angelina Borba,Prefeito,Eleito,211.422.794-48, Borba,24,Não
Angelina Hierro,Prefeito,Eleito,868.362.969-45, Hierro,14,Não
Angelina Morgado,Prefeito,Eleito,829.764.631-90, Morgado,42,Não
Angelina Pederneiras,Prefeito,Eleito,354.422.248-55, Pederneiras,28,Não
Angelina Siqueira,Prefeito,Eleito,649.152.557-00, Siqueira,12,Não
Angelina Sobreira,Prefeito,Eleito,550.938.250-34, Sobreira,27,Não
Angelina Valido,Prefeito,Eleito,012.926.756-24, Valido,16,Não
Angelina Ximenes,Prefeito,Eleito,916.812.453-88, Ximenes,29,Não
Angelino Afonso,Prefeito,Eleito,062.461.235-03, Afonso,23,Não
Angelino Botelho,Prefeito,Eleito,786.915.047-90, Botelho,53,Não
Angelino Gonsalves,Prefeito,Eleito,609.441.687-28, Gonsalves,32,Não
Angelino Grilo,Prefeito,Eleito,888.952.454-58, Grilo,52,Não
Angelino Jordán,Prefeito,Eleito,171.415.963-99, Jordán,21,Não
Angelino Patrício,Prefeito,Eleito,296.054.562-14, Patrício,31,Não
Angelino Quintella,Prefeito,Eleito,269.415.896-04, Quintella,15,Não
Angelino Quirós,Prefeito,Eleito,407.288.524-03, Quirós,25,Não
Angelino VilasBoas,Prefeito,Eleito,305.226.092-87, VilasBoas,41,Não
Angélica Belmonte,Prefeito,Eleito,867.575.268-75, Belmonte,26,Não
Angélica Cotrim,Prefeito,Eleito,231.617.946-05, Cotrim,22,Não
Angélica Durán,Prefeito,Eleito,984.077.482-42, Durán,33,Não
Angélica Granjeiro,Prefeito,Eleito,574.254.677-71, Granjeiro,43,Não
Angélica Jaguariúna,Prefeito,Eleito,202.068.324-51, Jaguariúna,11,Não
Angélica Malheiro,Prefeito,Eleito,974.795.341-24, Malheiro,42,Não
Angélica Peláez,Prefeito,Eleito,683.170.031-40, Peláez,28,Não
Angélico Anlicoara,Prefeito,Eleito,871.053.337-07, Anlicoara,27,Não
Angélico Damasceno,Prefeito,Eleito,149.791.159-18, Damasceno,16,Não
Angélico Farias,Prefeito,Eleito,401.108.927-39, Farias,13,Não
Angélico Fragoso,Prefeito,Eleito,649.894.752-75, Fragoso,29,Não
Angélico França,Prefeito,Eleito,419.990.186-80, França,23,Não
Angélico Godoi,Prefeito,Eleito,911.878.495-02, Godoi,53,Não
Angélico Louzada,Prefeito,Eleito,753.950.000-03, Louzada,32,Não
Angélico Magallanes,Prefeito,Eleito,353.859.971-88, Magallanes,52,Não
Angélico Quintana,Prefeito,Eleito,571.412.401-44, Quintana,21,Não
Angélico Ramallo,Prefeito,Eleito,726.304.982-12, Ramallo,51,Não
Anhangüera Batista,Prefeito,Eleito,454.006.435-58, Batista,15,Não
Anhangüera Collaço,Prefeito,Eleito,491.679.414-19, Collaço,25,Não
Anhangüera Silveira dos Açores,Prefeito,Eleito,670.464.729-55, Açores,26,Não
Aniana Anjos,Prefeito,Eleito,808.134.935-95, Anjos,22,Não
Aniana Carreiro,Prefeito,Eleito,323.006.170-56, Carreiro,43,Não
Aniana Gago,Prefeito,Eleito,230.920.368-83, Gago,11,Não
Aniana Galante,Prefeito,Eleito,079.365.303-71, Galante,14,Não
Aniana Guerrero,Prefeito,Eleito,964.359.598-62, Guerrero,42,Não
Aniana Lage,Prefeito,Eleito,673.733.774-08, Lage,28,Não
Aniana Lameiras,Prefeito,Eleito,333.968.959-83, Lameiras,41,Não
Aniana Milheiro,Prefeito,Eleito,887.508.246-43, Milheiro,27,Não
Aniana Penteado,Prefeito,Eleito,674.146.590-11, Penteado,16,Não
Aniano Athayde,Prefeito,Eleito,895.248.809-11, Athayde,23,Não
Aniano Gutiérrez,Prefeito,Eleito,419.626.464-67, Gutiérrez,32,Não
Aniano Milheirão,Prefeito,Eleito,071.334.511-07, Milheirão,21,Não
Aniano Parreira,Prefeito,Eleito,880.925.238-19, Parreira,51,Não
Aniano Quirós,Prefeito,Eleito,772.473.864-52, Quirós,50,Não
Aniano Rebocho,Prefeito,Eleito,508.657.737-34, Rebocho,31,Não
Anind Carvalheira,Prefeito,Eleito,645.732.625-04, Carvalheira,15,Não
Anind Fróis,Prefeito,Eleito,541.981.020-40, Fróis,25,Não
Anind Gomes,Prefeito,Eleito,672.824.518-93, Gomes,41,Não
Anind Hollanda,Prefeito,Eleito,915.248.545-57, Hollanda,26,Não
Anind Poças,Prefeito,Eleito,938.858.593-35, Poças,33,Não
Anind Santana,Prefeito,Eleito,263.206.966-13, Santana,11,Não
Anita Bello,Prefeito,Eleito,103.632.174-60, Bello,14,Não
Anita Beserra,Prefeito,Eleito,648.455.594-04, Beserra,42,Não
Anita Bethancout,Prefeito,Eleito,993.238.642-18, Bethancout,35,Não
Anita Canadas,Prefeito,Eleito,222.977.262-79, Canadas,28,Não
Anita Candal,Prefeito,Eleito,718.838.872-59, Candal,41,Não
Anita Costa,Prefeito,Eleito,876.023.495-47, Costa,12,Não
Anita Câmara,Prefeito,Eleito,501.785.520-38, Câmara,27,Não
Anita Rego,Prefeito,Eleito,317.183.087-60, Rego,29,Não
Anna Asunción,Prefeito,Eleito,867.711.347-92, Asunción,53,Não
Anna Cambezes,Prefeito,Eleito,480.459.432-97, Cambezes,32,Não
Anna Carvalheiro,Prefeito,Eleito,994.696.980-70, Carvalheiro,21,Não
Anna Chamusca,Prefeito,Eleito,787.231.970-56, Chamusca,51,Não
Anna Cidreira,Prefeito,Eleito,071.050.237-08, Cidreira,50,Não
Anna Onofre,Prefeito,Eleito,299.207.598-13, Onofre,25,Não
Anna Reis,Juiz,Concursado,725.442.431-39, Reis,22,Não
Anna Salomón,Juiz,Concursado,887.106.571-93, Salomón,33,Não
Anna Villela,Juiz,Concursado,310.408.416-51, Villela,24,Não
Anselmo Alvim,Juiz,Concursado,184.439.235-04, Alvim,43,Não
Anselmo Betancour,Juiz,Concursado,798.744.570-31, Betancour,11,Não
Anselmo Brites,Juiz,Concursado,389.730.320-54, Brites,14,Não
Anselmo Brites,Juiz,Concursado,433.089.758-07, Brites,42,Não
Anselmo Canhão,Juiz,Concursado,177.156.216-17, Canhão,35,Não
Anselmo Carromeu,Juiz,Concursado,424.052.927-18, Carromeu,28,Não
Anselmo Granjeia,Juiz,Concursado,308.771.660-05, Granjeia,27,Não
Anselmo Lozada,Juiz,Concursado,217.742.490-90, Lozada,16,Não
Anselmo Moniz,Juiz,Concursado,646.560.640-25, Moniz,29,Não
Anselmo Pereira,Juiz,Concursado,468.568.411-75, Pereira,23,Não
Anselmo Pessanha,Juiz,Concursado,616.587.981-04, Pessanha,53,Não
Anselmo Rebimbas,Juiz,Concursado,980.554.986-01, Rebimbas,52,Não
Anselmo Rivas,Juiz,Concursado,471.560.607-08, Rivas,21,Não
Anselmo Robalo,Juiz,Concursado,733.729.199-04, Robalo,51,Não
Anselmo Valim,Juiz,Concursado,746.757.792-39, Valim,50,Não
Anselmo Viveiros,Juiz,Concursado,219.356.650-06, Viveiros,31,Não
Antero Bello,Juiz,Concursado,174.225.655-43, Bello,25,Não
Antero Covelhã,Juiz,Concursado,362.688.790-15, Covelhã,41,Não
Antero Godoy,Juiz,Concursado,099.716.858-76, Godoy,26,Não
Antero Lage,Juiz,Concursado,596.066.810-68, Lage,22,Não
Antero Rico,Juiz,Concursado,667.253.941-75, Rico,24,Não
Antero Rocha,Juiz,Concursado,355.158.487-72, Rocha,43,Não
Antero Sarmiento,Juiz,Concursado,165.251.180-69, Sarmiento,11,Não
Antero Torrado,Juiz,Concursado,025.868.825-47, Torrado,14,Não
Antonieta Abranches,Juiz,Concursado,951.365.943-73, Abranches,42,Não
Antonieta Aquino,Juiz,Concursado,377.739.636-22, Aquino,35,Não
Antonieta Bethancout,Juiz,Concursado,931.320.999-37, Bethancout,28,Não
Antonieta Bulhão,Juiz,Concursado,712.050.441-08, Bulhão,41,Não
Antonieta Carrasqueira,Juiz,Concursado,707.423.485-04, Carrasqueira,12,Não
Antonieta Castilhos,Juiz,Concursado,452.663.662-22, Castilhos,27,Não
Antonieta Lousada,Juiz,Concursado,744.707.832-85, Lousada,16,Não
Antonieta Matoso,Juiz,Concursado,264.499.579-56, Matoso,13,Não
Antonieta Monjardim,Juiz,Concursado,917.142.906-97, Monjardim,29,Não
Antonieta Pedrozo,Juiz,Concursado,046.514.665-16, Pedrozo,23,Não
Antonieta Távora,Juiz,Concursado,899.736.649-14, Távora,53,Não
Antão Camarinho,Juiz,Concursado,210.419.817-83, Camarinho,21,Não
Antão Coelho,Juiz,Concursado,974.193.301-07, Coelho,50,Não
Antão Gómez,Juiz,Concursado,053.688.679-21, Gómez,31,Não
Antão Jucá,Juiz,Concursado,790.776.916-77, Jucá,15,Não
Antão Neto,Juiz,Concursado,528.087.218-03, Neto,41,Não
Antão Vilarim,Juiz,Concursado,817.342.225-73, Vilarim,43,Não
Antónia Baldaia,Juiz,Concursado,145.312.871-93, Baldaia,11,Não
Antónia Durão,Juiz,Concursado,001.767.585-50, Durão,35,Não
Antónia Esparteiro,Juiz,Concursado,989.565.434-02, Esparteiro,28,Não
Antónia Fogassa,Juiz,Concursado,636.410.643-92, Fogassa,41,Não
Antónia Granja,Juiz,Concursado,605.357.112-12, Granja,12,Não
Antónia Guimaraes,Juiz,Concursado,720.410.526-51, Guimaraes,27,Não
Antónia Liberato,Juiz,Concursado,904.218.779-44, Liberato,16,Não
Antónia Pessanha,Juiz,Concursado,088.390.024-64, Pessanha,29,Não
Antónia Raminhos,Juiz,Concursado,514.921.635-62, Raminhos,23,Não
Antónia Ramos,Juiz,Concursado,755.094.784-89, Ramos,53,Não
António Azambuja,Juiz,Concursado,337.544.347-13, Azambuja,21,Não
António Carrilho,Juiz,Concursado,045.423.240-36, Carrilho,51,Não
António Gois,Juiz,Concursado,027.099.017-81, Gois,50,Não
António Lamego,Juiz,Concursado,920.001.998-60, Lamego,31,Não
António Lustosa,Juiz,Concursado,527.311.751-84, Lustosa,15,Não
António Parahyba,Juiz,Concursado,048.217.737-32, Parahyba,41,Não
António Portugal,Juiz,Concursado,826.138.948-06, Portugal,26,Não
Antônia Castellano,Juiz,Concursado,856.856.229-96, Castellano,33,Não
Antônia Castellano,Juiz,Concursado,342.719.625-97, Castellano,24,Não
Antônia Mendoza,Juiz,Concursado,068.293.285-00, Mendoza,28,Não
Antônia Monsanto,Juiz,Concursado,905.013.867-50, Monsanto,41,Não
Antônia Monte,Juiz,Concursado,418.070.579-68, Monte,12,Não
Antônia Prado,Juiz,Concursado,286.845.459-31, Prado,27,Não
Antônia Proença,Juiz,Concursado,596.995.582-53, Proença,16,Não
Antônia Saloio,Juiz,Concursado,246.907.049-02, Saloio,13,Não
Antônio Assunção,Juiz,Concursado,403.220.547-70, Assunção,53,Não
Antônio Canejo,Juiz,Concursado,130.612.127-28, Canejo,52,Não
Antônio Carvalheiro,Juiz,Concursado,093.540.706-55, Carvalheiro,21,Não
Antônio Freyre,Juiz,Concursado,135.083.789-00, Freyre,50,Não
Antônio Linares,Juiz,Concursado,816.279.829-30, Linares,31,Não
Antônio Moreyra,Juiz,Concursado,790.569.308-26, Moreyra,15,Não
Antônio Méndez,Juiz,Concursado,103.910.476-20, Méndez,25,Não
Antônio Paião,Juiz,Concursado,030.097.193-10, Paião,41,Não
Antônio Portugal,Juiz,Concursado,862.790.141-42, Portugal,26,Não
Antônio Varela,Juiz,Concursado,931.898.037-06, Varela,43,Não
Aníbal Alcântara,Juiz,Concursado,563.080.736-60, Alcântara,11,Não
Aníbal Becerril,Juiz,Concursado,829.274.785-03, Becerril,42,Não
Aníbal Bento,Juiz,Concursado,140.631.349-11, Bento,35,Não
Aníbal Bogado,Juiz,Concursado,124.035.889-03, Bogado,28,Não
Aníbal Carrillo,Juiz,Concursado,219.443.276-06, Carrillo,12,Não
Aníbal Macieira,Juiz,Concursado,285.305.765-86, Macieira,27,Não
Aníbal Mascareñas,Juiz,Concursado,114.099.358-50, Mascareñas,13,Não
Aníbal Quadros,Juiz,Concursado,117.882.297-46, Quadros,23,Não
Aníbal Rico,Juiz,Concursado,095.025.335-93, Rico,32,Não
Aníbal Sabrosa,Juiz,Concursado,900.659.917-45, Sabrosa,52,Não
Apoena Castelão,Juiz,Concursado,719.883.443-44, Castelão,31,Não
Apoena Damásio,Juiz,Concursado,647.809.711-01, Damásio,25,Não
Apoena Dinis,Juiz,Concursado,801.248.671-70, Dinis,41,Não
Apoena Garcia,Juiz,Concursado,576.467.015-21, Garcia,22,Não
Apoena Negrão,Juiz,Concursado,881.620.624-16, Negrão,24,Não
Apoena Sucupira,Juiz,Concursado,991.504.552-22, Sucupira,11,Não
Apoena VilaChã,Juiz,Concursado,883.770.825-43, VilaChã,14,Não
Apoena Villar,Juiz,Concursado,754.049.307-05, Villar,42,Não
Apuã Alcantara,Juiz,Concursado,708.596.315-83, Alcantara,28,Não
Apuã Brandán,Juiz,Concursado,149.542.642-43, Brandán,41,Não
Apuã Collaço,Juiz,Concursado,039.856.750-66, Collaço,27,Não
Apuã Curado,Juiz,Concursado,394.241.699-90, Curado,16,Não
Apuã Dorneles,Juiz,Concursado,117.866.163-60, Dorneles,13,Não
Apuã Guarabira,Juiz,Concursado,949.149.779-07, Guarabira,29,Não
Apuã Paredes,Juiz,Concursado,972.180.105-47, Paredes,23,Não
Apuã Paredes,Juiz,Concursado,630.530.363-04, Paredes,53,Não
Apuã Parente,Juiz,Concursado,504.795.082-40, Parente,32,Não
Arachane Custódio,Juiz,Concursado,296.955.566-20, Custódio,21,Não
Arachane Galván,Juiz,Concursado,533.864.069-47, Galván,31,Não
Arachane Guarabira,Juiz,Concursado,543.279.389-04, Guarabira,15,Não
Arachane Mariz,Juiz,Concursado,474.394.404-04, Mariz,41,Não
Arachane Pestana,Juiz,Concursado,057.580.742-33, Pestana,26,Não
Araci Alves,Juiz,Concursado,430.401.359-96, Alves,22,Não
Araci Bonilla,Juiz,Concursado,365.828.100-65, Bonilla,33,Não
Araci Calheiros,Juiz,Concursado,829.822.444-20, Calheiros,24,Não
Araci Dias,Juiz,Concursado,923.724.777-06, Dias,43,Não
Araci Faria,Juiz,Concursado,488.819.460-25, Faria,11,Não
Araci Figueiredo,Juiz,Concursado,856.875.768-51, Figueiredo,14,Não
Araci Freyre,Juiz,Concursado,443.968.969-80, Freyre,42,Não
Araci Grangeia,Juiz,Concursado,167.908.959-57, Grangeia,35,Não
Araci Lancastre,Juiz,Concursado,110.257.395-74, Lancastre,28,Não
Araci Ribas,Juiz,Concursado,966.285.135-64, Ribas,41,Não
Araci Themes,Juiz,Concursado,998.751.021-30, Themes,27,Não
Araci Valiente,Juiz,Concursado,618.082.898-97, Valiente,16,Não
Araci Vaz,Juiz,Concursado,972.488.495-37, Vaz,13,Não
Araribóia Campello,Juiz,Concursado,279.687.442-70, Campello,29,Não
Araribóia Estrela,Juiz,Concursado,343.877.860-27, Estrela,23,Não
Araribóia Jardim,Juiz,Concursado,966.903.465-52, Jardim,53,Não
Araribóia Lisboa,Juiz,Concursado,837.710.654-02, Lisboa,32,Não
Araribóia Moreno,Juiz,Concursado,153.963.546-58, Moreno,52,Não
Araribóia Pedroso,Juiz,Concursado,407.909.223-71, Pedroso,21,Não
Arcidres Amorín,Juiz,Concursado,268.775.899-04, Amorín,50,Não
Arcidres Caneira,Juiz,Concursado,621.479.484-46, Caneira,15,Não
Arcidres Ferreyra,Juiz,Concursado,978.469.188-42, Ferreyra,25,Não
Arcidres Festas,Juiz,Concursado,751.313.410-35, Festas,41,Não
Arcidres Gorjão,Juiz,Concursado,736.957.492-02, Gorjão,26,Não
Arcidres Parahyba,Juiz,Concursado,485.090.825-02, Parahyba,22,Não
Arcidres Peixoto,Juiz,Concursado,231.019.687-80, Peixoto,33,Não
Arcidres Rodríguez,Juiz,Concursado,981.466.389-10, Rodríguez,43,Não
Armanda Calheiros,Juiz,Concursado,463.570.700-84, Calheiros,14,Não
Armanda Carvalhais,Juiz,Concursado,884.996.826-42, Carvalhais,42,Não
Armanda Ferrón,Juiz,Concursado,036.466.289-10, Ferrón,35,Não
Armanda Temes,Juiz,Concursado,042.243.708-59, Temes,13,Não
Armando Canedo,Juiz,Concursado,680.306.347-06, Canedo,29,Não
Armando Figueiró,Juiz,Concursado,561.567.035-51, Figueiró,53,Não
Armando Inês,Juiz,Concursado,019.580.676-01, Inês,32,Não
Armando Marques,Juiz,Concursado,916.719.120-71, Marques,52,Não
Armando Milheirão,Juiz,Concursado,464.719.452-30, Milheirão,21,Não
Armando Moreno,Juiz,Concursado,645.859.236-16, Moreno,51,Não
Armando Pais,Juiz,Concursado,745.701.649-00, Pais,50,Não
Arminda Borba,Juiz,Concursado,865.038.151-07, Borba,15,Não
Arminda Cascais,Juiz,Concursado,546.457.504-96, Cascais,25,Não
Arminda Cervera,Juiz,Concursado,272.975.730-94, Cervera,41,Não
Arminda Cordeiro,Juiz,Concursado,679.783.011-76, Cordeiro,26,Não
Arminda Cortez,Juiz,Concursado,434.153.779-20, Cortez,22,Não
Arminda Felipe,Juiz,Concursado,264.249.268-01, Felipe,33,Não
